Fastq_name	target	sple_info	experiment	type	otherID	sampleID	tissue	factor	condition	treatment	replicate	pair_ended	shortLabel	longLabel	TH_type	visibility	colorR	colorG	colorB	maxHeightPixels	autoScale	viewLimits_low	viewLimits_high	priority	windowingFunction

# NKX2.1																									

SRR4035318.fastq.gz	NKX2.1_E13.5	NKX2.1_BG_E13.5_ChIP_SRR4035318_rep1	NKX190301-1	ChIP	SRR4035318	NKX2.1_BG_E13.5_ChIP_SRR4035318_rep1	BG	NKX2.1	WT	E13.5	1	no	NKX2.1_BG_E13.5_ChIP_SRR4035318_rep1	NKX2.1_BG_E13.5_ChIP_SRR4035318_rep1	bigWig	full	255	128	0	50	on	0	50	70001	mean

SRR4035321.fastq.gz	NKX2.1_E13.5	NKX2.1_BG_E13.5_Input_SRR4035321_rep1	NKX190301-1	Input	SRR4035321	NKX2.1_BG_E13.5_Input_SRR4035321_rep1	BG	NKX2.1	WT	E13.5	1	no	NKX2.1_BG_E13.5_Input_SRR4035321_rep1	NKX2.1_BG_E13.5_Input_SRR4035321_rep1	bigWig	full	255	128	0	50	on	0	50	70002	

																									

SRR4035319.fastq.gz	NKX2.1_E13.5	NKX2.1_BG_E13.5_ChIP_SRR4035319_rep2	NKX190301-2	ChIP	SRR4035319	NKX2.1_BG_E13.5_ChIP_SRR4035319_rep2	BG	NKX2.1	WT	E13.5	2	no	NKX2.1_BG_E13.5_ChIP_SRR4035319_rep2	NKX2.1_BG_E13.5_ChIP_SRR4035319_rep2	bigWig	full	255	128	0	50	on	0	50	70004	mean

SRR4035322.fastq.gz	NKX2.1_E13.5	NKX2.1_BG_E13.5_Input_SRR4035322_rep2	NKX190301-2	Input	SRR4035322	NKX2.1_BG_E13.5_Input_SRR4035322_rep2	BG	NKX2.1	WT	E13.5	2	no	NKX2.1_BG_E13.5_Input_SRR4035322_rep2	NKX2.1_BG_E13.5_Input_SRR4035322_rep2	bigWig	full	255	128	0	50	on	0	50	70005	

																									

SRR4035320.fastq.gz	NKX2.1_E13.5	NKX2.1_BG_E13.5_ChIP_SRR4035320_rep3	NKX190301-3	ChIP	SRR4035320	NKX2.1_BG_E13.5_ChIP_SRR4035320_rep3	BG	NKX2.1	WT	E13.5	3	no	NKX2.1_BG_E13.5_ChIP_SRR4035320_rep3	NKX2.1_BG_E13.5_ChIP_SRR4035320_rep3	bigWig	full	255	128	0	50	on	0	50	70007	mean

SRR4035323.fastq.gz	NKX2.1_E13.5	NKX2.1_BG_E13.5_Input_SRR4035323_rep3	NKX190301-3	Input	SRR4035323	NKX2.1_BG_E13.5_Input_SRR4035323_rep3	BG	NKX2.1	WT	E13.5	3	no	NKX2.1_BG_E13.5_Input_SRR4035323_rep3	NKX2.1_BG_E13.5_Input_SRR4035323_rep3	bigWig	full	255	128	0	50	on	0	50	70008	

																									

# LHX6																									

SRR4035327.fastq.gz	LHX6_E13.5	LHX6_BG_E13.5_ChIP_SRR4035327_rep1	NKX190301-4	ChIP	SRR4035327	LHX6_BG_E13.5_ChIP_SRR4035327_rep1	BG	LHX6	WT	E13.5	1	no	LHX6_BG_E13.5_ChIP_SRR4035327_rep1	LHX6_BG_E13.5_ChIP_SRR4035327_rep1	bigWig	full	255	128	0	50	on	0	50	70011	mean

SRR4035330.fastq.gz	LHX6_E13.5	LHX6_BG_E13.5_Input_SRR4035330_rep1	NKX190301-4	Input	SRR4035330	LHX6_BG_E13.5_Input_SRR4035330_rep1	BG	LHX6	WT	E13.5	1	no	LHX6_BG_E13.5_Input_SRR4035330_rep1	LHX6_BG_E13.5_Input_SRR4035330_rep1	bigWig	full	255	128	0	50	on	0	50	70012	

																									

SRR4035328.fastq.gz	LHX6_E13.5	LHX6_BG_E13.5_ChIP_SRR4035328_rep2	NKX190301-5	ChIP	SRR4035328	LHX6_BG_E13.5_ChIP_SRR4035328_rep2	BG	LHX6	WT	E13.5	2	no	LHX6_BG_E13.5_ChIP_SRR4035328_rep2	LHX6_BG_E13.5_ChIP_SRR4035328_rep2	bigWig	full	255	128	0	50	on	0	50	70014	mean

